"iso","country","year","region","type","consumption","per_capita","percent"
"ARE","United Arab Emirates",1996,"Middle East and North Africa","Other",0,0,0
"ARE","United Arab Emirates",1996,"Middle East and North Africa","Solar",0,0,0
"ARE","United Arab Emirates",1996,"Middle East and North Africa","Total",1.79888,0.69921,1
"ARE","United Arab Emirates",1996,"Middle East and North Africa","Wind",0,0,0
"ARE","United Arab Emirates",1997,"Middle East and North Africa","Biofuels",NA,NA,NA
"ARE","United Arab Emirates",1997,"Middle East and North Africa","Coal",NA,NA,NA
"ARE","United Arab Emirates",1997,"Middle East and North Africa","Hydro",0,0,0
"ARE","United Arab Emirates",1997,"Middle East and North Africa","Natural Gas",1.0179,0.37067,0.54223
"ARE","United Arab Emirates",1997,"Middle East and North Africa","Nuclear",0,0,0
"ARE","United Arab Emirates",1997,"Middle East and North Africa","Oil",0.85934,0.31293,0.45777
"ARE","United Arab Emirates",1997,"Middle East and North Africa","Other",0,0,0
"ARE","United Arab Emirates",1997,"Middle East and North Africa","Solar",0,0,0
"ARE","United Arab Emirates",1997,"Middle East and North Africa","Total",1.87724,0.6836,1
"ARE","United Arab Emirates",1997,"Middle East and North Africa","Wind",0,0,0
"ARE","United Arab Emirates",1998,"Middle East and North Africa","Biofuels",NA,NA,NA
"ARE","United Arab Emirates",1998,"Middle East and North Africa","Coal",NA,NA,NA
"ARE","United Arab Emirates",1998,"Middle East and North Africa","Hydro",0,0,0
"ARE","United Arab Emirates",1998,"Middle East and North Africa","Natural Gas",1.06669,0.36516,0.55476
"ARE","United Arab Emirates",1998,"Middle East and North Africa","Nuclear",0,0,0
"ARE","United Arab Emirates",1998,"Middle East and North Africa","Oil",0.85612,0.29308,0.44524
"ARE","United Arab Emirates",1998,"Middle East and North Africa","Other",0,0,0
"ARE","United Arab Emirates",1998,"Middle East and North Africa","Solar",0,0,0
"ARE","United Arab Emirates",1998,"Middle East and North Africa","Total",1.92281,0.65824,1
"ARE","United Arab Emirates",1998,"Middle East and North Africa","Wind",0,0,0
"ARE","United Arab Emirates",1999,"Middle East and North Africa","Biofuels",NA,NA,NA
"ARE","United Arab Emirates",1999,"Middle East and North Africa","Coal",NA,NA,NA
"ARE","United Arab Emirates",1999,"Middle East and North Africa","Hydro",0,0,0
"ARE","United Arab Emirates",1999,"Middle East and North Africa","Natural Gas",1.10284,0.35604,0.56902
"ARE","United Arab Emirates",1999,"Middle East and North Africa","Nuclear",0,0,0
"ARE","United Arab Emirates",1999,"Middle East and North Africa","Oil",0.83529,0.26966,0.43098
"ARE","United Arab Emirates",1999,"Middle East and North Africa","Other",0,0,0
"ARE","United Arab Emirates",1999,"Middle East and North Africa","Solar",0,0,0
"ARE","United Arab Emirates",1999,"Middle East and North Africa","Total",1.93813,0.62569,1
"ARE","United Arab Emirates",1999,"Middle East and North Africa","Wind",0,0,0
"ARE","United Arab Emirates",2000,"Middle East and North Africa","Biofuels",NA,NA,NA
"ARE","United Arab Emirates",2000,"Middle East and North Africa","Coal",NA,NA,NA
"ARE","United Arab Emirates",2000,"Middle East and North Africa","Hydro",0,0,0
"ARE","United Arab Emirates",2000,"Middle East and North Africa","Natural Gas",1.10319,0.33682,0.57195
"ARE","United Arab Emirates",2000,"Middle East and North Africa","Nuclear",0,0,0
"ARE","United Arab Emirates",2000,"Middle East and North Africa","Oil",0.82562,0.25207,0.42805
"ARE","United Arab Emirates",2000,"Middle East and North Africa","Other",0,0,0
"ARE","United Arab Emirates",2000,"Middle East and North Africa","Solar",0,0,0
"ARE","United Arab Emirates",2000,"Middle East and North Africa","Total",1.92881,0.58889,1
"ARE","United Arab Emirates",2000,"Middle East and North Africa","Wind",0,0,0
"ARE","United Arab Emirates",2001,"Middle East and North Africa","Biofuels",NA,NA,NA
"ARE","United Arab Emirates",2001,"Middle East and North Africa","Coal",0.00077,0.00022,4e-04
"ARE","United Arab Emirates",2001,"Middle East and North Africa","Hydro",NA,NA,NA
"ARE","United Arab Emirates",2001,"Middle East and North Africa","Natural Gas",1.13303,0.32801,0.58115
"ARE","United Arab Emirates",2001,"Middle East and North Africa","Nuclear",NA,NA,NA
"ARE","United Arab Emirates",2001,"Middle East and North Africa","Oil",0.81584,0.23619,0.41846
"ARE","United Arab Emirates",2001,"Middle East and North Africa","Other",0,0,0
"ARE","United Arab Emirates",2001,"Middle East and North Africa","Solar",0,0,0
"ARE","United Arab Emirates",2001,"Middle East and North Africa","Total",1.94964,0.56443,1
"ARE","United Arab Emirates",2001,"Middle East and North Africa","Wind",0,0,0
"ARE","United Arab Emirates",2002,"Middle East and North Africa","Biofuels",NA,NA,NA
"ARE","United Arab Emirates",2002,"Middle East and North Africa","Coal",0.00395,0.00109,0.00185
"ARE","United Arab Emirates",2002,"Middle East and North Africa","Hydro",NA,NA,NA
"ARE","United Arab Emirates",2002,"Middle East and North Africa","Natural Gas",1.27904,0.352,0.60046
"ARE","United Arab Emirates",2002,"Middle East and North Africa","Nuclear",NA,NA,NA
"ARE","United Arab Emirates",2002,"Middle East and North Africa","Oil",0.8471,0.23313,0.39768
"ARE","United Arab Emirates",2002,"Middle East and North Africa","Other",0,0,0
"ARE","United Arab Emirates",2002,"Middle East and North Africa","Solar",0,0,0
"ARE","United Arab Emirates",2002,"Middle East and North Africa","Total",2.1301,0.58621,1
"ARE","United Arab Emirates",2002,"Middle East and North Africa","Wind",0,0,0
"ARE","United Arab Emirates",2003,"Middle East and North Africa","Biofuels",NA,NA,NA
"ARE","United Arab Emirates",2003,"Middle East and North Africa","Coal",0.00464,0.00122,0.00204
"ARE","United Arab Emirates",2003,"Middle East and North Africa","Hydro",NA,NA,NA
"ARE","United Arab Emirates",2003,"Middle East and North Africa","Natural Gas",1.32959,0.34866,0.58517
"ARE","United Arab Emirates",2003,"Middle East and North Africa","Nuclear",NA,NA,NA
"ARE","United Arab Emirates",2003,"Middle East and North Africa","Oil",0.93793,0.24595,0.41279
"ARE","United Arab Emirates",2003,"Middle East and North Africa","Other",0,0,0
"ARE","United Arab Emirates",2003,"Middle East and North Africa","Solar",0,0,0
"ARE","United Arab Emirates",2003,"Middle East and North Africa","Total",2.27216,0.59583,1
"ARE","United Arab Emirates",2003,"Middle East and North Africa","Wind",0,0,0
"ARE","United Arab Emirates",2004,"Middle East and North Africa","Biofuels",NA,NA,NA
"ARE","United Arab Emirates",2004,"Middle East and North Africa","Coal",0.00526,0.00132,0.00217
"ARE","United Arab Emirates",2004,"Middle East and North Africa","Hydro",NA,NA,NA
"ARE","United Arab Emirates",2004,"Middle East and North Africa","Natural Gas",1.41137,0.35343,0.58075
"ARE","United Arab Emirates",2004,"Middle East and North Africa","Nuclear",NA,NA,NA
"ARE","United Arab Emirates",2004,"Middle East and North Africa","Oil",1.0136,0.25382,0.41708
